Participant,Group,Total_Sessions,Total_BonusGames,Percentage_Bonus
1,1,18,10,55.55555556
2,1,5,3,60
6,1,15,5,33.33333333
7,1,6,1,16.66666667
31,1,3,2,66.66666667
36,1,5,2,40
37,1,4,2,50
61,1,7,2,28.57142857
62,1,8,1,12.5
63,1,8,1,12.5
64,1,8,3,37.5
65,1,8,3,37.5
66,1,8,4,50
67,1,7,0,0
68,1,8,0,0
69,1,8,2,25
70,1,8,4,50
71,1,8,3,37.5
72,1,7,1,14.28571429
21,2,14,3,21.42857143
22,2,22,9,40.90909091
23,2,21,3,14.28571429
26,2,24,6,25
27,2,4,2,50
51,2,4,0,0
52,2,6,3,50
56,2,3,1,33.33333333
57,2,15,9,60
85,2,7,1,14.28571429
86,2,7,5,71.42857143
87,2,8,5,62.5
88,2,8,5,62.5
89,2,8,3,37.5
90,2,8,1,12.5
91,2,8,6,75
92,2,7,6,85.71428571
93,2,8,4,50
94,2,8,3,37.5
95,2,8,2,25
96,2,8,5,62.5
11,3,17,10,58.82352941
12,3,10,5,50
16,3,7,4,57.14285714
17,3,18,4,22.22222222
18,3,7,1,14.28571429
41,3,22,12,54.54545455
46,3,22,3,13.63636364
47,3,6,4,66.66666667
73,3,8,5,62.5
74,3,8,1,12.5
75,3,6,5,83.33333333
76,3,8,3,37.5
77,3,8,4,50
78,3,4,1,25
79,3,6,5,83.33333333
80,3,8,5,62.5
81,3,7,0,0
82,3,8,3,37.5
83,3,8,4,50
84,3,4,2,50
